"country","totAll","totGold","totSilv","totBrz","pop2022"
"United States","2980","1180","959","841","338289857"
"United Kingdom","948","296","320","332","67508936"
"Germany","892","293","293","306","83369843"
"France","874","258","289","327","64626628"
"Italy","742","257","224","261","59037474"
"China","696","275","227","194","1425887337"
"Sweden","661","205","222","234","10549347"
"Australia","562","169","178","215","26177413"
"Japan","555","183","172","200","123951692"
"Russia","547","196","164","187","144713314"
"Norway","528","192","176","160","5434319"
"Canada","525","144","172","209","38454327"
"Hungary","518","182","156","180","9967308"
"Finland","472","144","148","180","5540745"
"Netherlands","451","140","148","163","17564014"
"Switzerland","358","109","124","125","8740472"
"South Korea","357","127","116","114","51815810"
"Austria","326","83","115","128","8939617"
"Poland","320","79","96","145","39857145"
"Romania","309","90","97","122","19659267"
"Cuba","241","85","71","85","11212191"
"Bulgaria","230","55","90","85","6781953"
"Denmark","206","48","79","79","5882261"
"Spain","171","49","72","50","47558630"
"Belgium","161","44","56","61","11655930"
"Brazil","150","37","42","71","215313498"
"Ukraine","147","38","37","72","39701739"
"New Zealand","140","53","34","53","5185288"
"Greece","121","35","45","41","10384971"
"Kenya","113","35","42","36","54027487"
"Turkey","104","41","26","37","85341241"
"Belarus","103","21","35","47","9534954"
"Czech Republic","98","28","32","38","10493986"
"South Africa","89","27","33","29","59893885"
"Jamaica","87","26","36","25","2827377"
"Kazakhstan","80","16","24","40","19397998"
"Argentina","77","21","26","30","45510318"
"Iran","76","24","23","29","88550570"
"Mexico","73","13","24","36","127504125"
"Ethiopia","58","23","12","23","123379924"
"North Korea","56","16","17","23","26069416"
"Croatia","52","18","19","15","4030358"
"Azerbaijan","49","7","14","28","10358074"
"Slovenia","45","10","14","21","2119844"
"Estonia","43","14","11","18","1326062"
"Slovakia","40","13","18","9","5643453"
"Georgia","40","10","12","18","3744385"
"Egypt","38","8","11","19","110990103"
"Indonesia","37","8","14","15","275501339"
"Uzbekistan","37","11","6","20","34627652"
"India","35","10","9","16","1417173173"
"Thailand","35","10","8","17","71697030"
"Ireland","35","11","10","14","5023109"
"Colombia","34","5","13","16","51874024"
"Mongolia","30","2","11","17","3398366"
"Latvia","30","5","14","11","1850651"
"Portugal","28","5","9","14","10270865"
"Nigeria","27","3","11","13","218541212"
"Lithuania","26","6","7","13","2750055"
"Morocco","24","7","5","12","37457971"
"Serbia","24","6","7","11","7221365"
"Venezuela","19","3","7","9","28301696"
"Trinidad and Tobago","19","3","5","11","1531044"
"Armenia","18","2","8","8","2780469"
"Algeria","17","5","4","8","44903225"
"Bahamas","16","8","2","6","409984"
"Tunisia","15","5","3","7","12356117"
"Philippines","14","1","5","8","115559009"
"Malaysia","13","0","8","5","33938221"
"Chile","13","2","7","4","19603733"
"Israel","13","3","1","9","9038309"
"Dominican Republic","12","3","5","4","11228821"
"Uganda","11","4","4","3","47249585"
"Pakistan","10","3","3","4","235824862"
"Uruguay","10","2","2","6","3422794"
"Puerto Rico","10","2","2","6","3252407"
"Liechtenstein","10","2","2","6","39327"
"Hong Kong","9","2","3","4","7488865"
"Zimbabwe","8","3","4","1","16320537"
"Qatar","8","2","1","5","2695122"
"Kyrgyzstan","7","0","3","4","6630623"
"Cameroon","6","3","1","2","27914536"
"Moldova","6","0","2","4","3272996"
"Vietnam","5","1","3","1","98186856"
"Ghana","5","0","1","4","33475870.0000"
"Ecuador","5","3","2","0","18001000"
"Singapore","5","1","2","2","5975689"
"Namibia","5","0","5","0","2567012"
"Saudi Arabia","4","0","2","2","36408820"
"Peru","4","1","3","0","34049588"
"Ivory Coast","4","1","1","2","28160542"
"Syria","4","1","1","2","22125249"
"Tajikistan","4","1","1","2","9952787"
"Lebanon","4","0","2","2","5489739"
"Costa Rica","4","1","1","2","5180829"
"Bahrain","4","2","2","0","1472233"
"Luxembourg","4","1","3","0","647599"
"Iceland","4","0","2","2","372899"
"Jordan","3","1","1","1","11285869"
"Panama","3","1","0","2","4408581"
"Kuwait","3","0","0","3","4268873"
"Fiji","3","2","0","1","929766"
"Grenada","3","1","1","1","125438"
"San Marino","3","0","1","2","33660"
"Tanzania","2","0","2","0","65497748"
"Afghanistan","2","0","0","2","41128771"
"Mozambique","2","1","0","1","32969518.0000"
"Niger","2","0","1","1","26207977"
"Sri Lanka","2","0","2","0","21832143"
"Zambia","2","0","1","1","20017675"
"Burundi","2","1","1","0","12889576"
"Haiti","2","0","1","1","11584996"
"United Arab Emirates","2","1","0","1","9441129"
"Botswana","2","0","1","1","2630296"
"North Macedonia","2","0","1","1","2093599.0000"
"Suriname","2","1","0","1","618040"
"Bermuda","2","1","0","1","64184"
"Sudan","1","0","1","0","46874204"
"Iraq","1","0","0","1","44496122"
"Burkina Faso","1","0","0","1","22673762"
"Guatemala","1","0","1","0","17843908"
"Senegal","1","0","1","0","17316449"
"Togo","1","0","0","1","8848699"
"Paraguay","1","0","1","0","6780744"
"Turkmenistan","1","0","1","0","6430770"
"Eritrea","1","0","0","1","3684032"
"Gabon","1","0","1","0","2388992"
"Mauritius","1","0","0","1","1299469"
"Cyprus","1","0","1","0","1251488"
"Djibouti","1","0","0","1","1120849"
"Guyana","1","0","0","1","808726"
"Montenegro","1","0","1","0","627082"
"Barbados","1","0","0","1","281635"
"Samoa","1","0","1","0","222382"
"Tonga","1","0","1","0","106858"
